Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,67.349998,68.199997,67.349998,68.0,68.0,148846
2017-07-04,68.0,68.900002,68.0,68.800003,68.800003,87191
2017-07-05,68.400002,68.800003,67.050003,67.699997,67.699997,116824
2017-07-06,68.150002,68.75,67.0,67.699997,67.699997,136348
2017-07-07,67.0,67.0,65.699997,66.199997,66.199997,257394
2017-07-10,66.300003,67.5,66.0,67.099998,67.099998,306468
2017-07-11,67.0,69.75,67.0,69.25,69.25,721087
2017-07-12,70.650002,72.75,70.199997,72.5,72.5,900200
2017-07-13,72.5,72.949997,71.5,72.25,72.25,278372
2017-07-14,72.5,73.25,72.199997,72.949997,72.949997,362423
2017-07-17,72.900002,72.949997,71.5,71.800003,71.800003,142390
2017-07-18,71.900002,73.099998,71.800003,73.099998,73.099998,360152
2017-07-19,74.0,75.0,74.0,74.650002,74.650002,321448
2017-07-20,74.5,75.199997,73.550003,74.300003,74.300003,274278
2017-07-21,73.599998,74.099998,72.800003,73.400002,73.400002,278802
2017-07-24,72.599998,74.699997,72.599998,74.599998,74.599998,219945
2017-07-25,75.199997,75.800003,74.599998,75.300003,75.300003,287962
2017-07-26,75.75,75.900002,74.699997,74.800003,74.800003,109701
2017-07-27,74.800003,76.0,74.800003,75.800003,75.800003,310127
2017-07-28,76.199997,77.099998,76.0,77.0,77.0,484248
2017-07-31,76.0,77.849998,76.0,77.599998,77.599998,258162
2017-08-01,77.0,77.5,76.25,77.0,77.0,440658
2017-08-02,76.5,79.5,76.5,79.050003,79.050003,574660
