Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,258.5,266.700012,257.049988,262.799988,262.799988,75857
2017-07-04,265.0,266.5,261.049988,262.0,262.0,19442
2017-07-05,262.0,269.899994,262.0,266.0,266.0,116718
2017-07-06,266.0,273.5,264.0,266.0,266.0,102408
2017-07-07,264.950012,264.950012,257.0,261.399994,261.399994,89151
2017-07-10,262.0,264.799988,258.049988,262.950012,262.950012,64759
2017-07-11,262.950012,270.0,262.0,267.0,267.0,34472
2017-07-12,270.0,273.0,269.0,270.25,270.25,39047
2017-07-13,269.950012,275.5,267.0,275.0,275.0,42470
2017-07-14,275.0,277.0,273.5,275.25,275.25,77588
2017-07-17,275.25,278.0,274.0,276.0,276.0,39223
2017-07-18,276.100006,278.0,274.0,277.799988,277.799988,62638
2017-07-19,275.100006,284.75,275.100006,282.5,282.5,51526
2017-07-20,282.5,283.0,277.5,277.5,277.5,42900
2017-07-21,277.0,278.399994,274.600006,275.0,275.0,40792
2017-07-24,275.0,278.0,273.049988,275.0,275.0,61761
2017-07-25,275.100006,280.5,275.100006,278.5,278.5,57634
2017-07-26,279.5,282.0,278.0,278.0,278.0,56666
2017-07-27,280.0,281.0,277.149994,279.5,279.5,18463
2017-07-28,280.0,285.5,278.0,282.5,282.5,38606
2017-07-31,282.450012,282.450012,277.75,279.5,279.5,25692
2017-08-01,276.0,276.899994,270.049988,271.350006,271.350006,36549
2017-08-02,270.649994,271.0,268.0,270.200012,270.200012,34886
