Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,71.050003,73.449997,71.050003,72.0,72.0,465077
2017-07-04,73.0,73.300003,72.300003,72.849998,72.849998,190477
2017-07-05,72.849998,73.349998,71.800003,71.949997,71.949997,499531
2017-07-06,72.5,73.900002,71.0,71.25,71.25,1024376
2017-07-07,71.25,72.0,66.300003,70.650002,70.650002,341734
2017-07-10,71.050003,72.099998,71.0,71.699997,71.699997,614008
2017-07-11,71.699997,71.900002,71.0,71.5,71.5,381394
2017-07-12,71.449997,73.0,71.050003,72.199997,72.199997,344525
2017-07-13,72.0,72.150002,70.050003,71.150002,71.150002,435162
2017-07-14,71.099998,71.099998,67.949997,68.550003,68.550003,673120
2017-07-17,68.0,68.800003,67.0,67.5,67.5,625003
2017-07-18,67.5,67.5,64.550003,64.599998,64.599998,640997
2017-07-19,65.25,67.0,65.25,66.599998,66.599998,620259
2017-07-20,67.699997,67.699997,66.0,66.5,66.5,253386
2017-07-21,66.550003,67.800003,66.550003,67.349998,67.349998,565145
2017-07-24,67.349998,68.0,65.0,66.699997,66.699997,387613
2017-07-25,66.0,67.400002,66.0,67.050003,67.050003,286295
2017-07-26,67.0,67.199997,66.0,66.900002,66.900002,298512
2017-07-27,66.800003,67.349998,66.300003,66.5,66.5,250577
2017-07-28,66.300003,67.5,66.300003,67.099998,67.099998,282237
2017-07-31,67.349998,67.349998,64.0,64.599998,64.599998,458774
2017-08-01,65.0,66.0,64.75,65.050003,65.050003,295218
2017-08-02,65.300003,65.449997,64.0,64.800003,64.800003,226674
