Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,105.0,108.0,104.0,105.0,105.0,122465
2017-07-04,106.0,106.300003,104.0,105.5,105.5,52965
2017-07-05,105.0,106.0,104.0,105.849998,105.849998,87556
2017-07-06,106.5,107.099998,102.650002,104.949997,104.949997,66714
2017-07-07,104.0,104.900002,101.599998,103.0,103.0,35106
2017-07-10,101.849998,103.949997,101.0,101.849998,101.849998,63117
2017-07-11,102.150002,102.75,101.0,102.300003,102.300003,43776
2017-07-12,103.0,103.5,101.400002,101.5,101.5,80129
2017-07-13,101.5,102.75,100.0,101.5,101.5,92924
2017-07-14,101.75,101.800003,99.5,99.5,99.5,49148
2017-07-17,97.449997,97.650002,95.0,95.800003,95.800003,232838
2017-07-18,95.0,95.0,91.400002,92.5,92.5,232055
2017-07-19,91.800003,94.0,89.949997,91.599998,91.599998,768936
2017-07-20,91.650002,92.300003,90.050003,91.300003,91.300003,381453
2017-07-21,91.599998,92.5,91.5,92.0,92.0,232159
2017-07-24,93.0,93.0,90.400002,90.5,90.5,92748
2017-07-25,90.650002,91.400002,90.050003,91.0,91.0,102703
2017-07-26,91.0,92.75,90.5,92.5,92.5,136600
2017-07-27,92.5,93.699997,92.150002,93.0,93.0,188516
2017-07-28,93.400002,94.5,93.0,93.5,93.5,210215
2017-07-31,93.0,93.0,90.800003,91.5,91.5,179421
2017-08-01,92.0,93.0,90.0,90.0,90.0,70885
2017-08-02,92.150002,93.099998,91.550003,93.0,93.0,136895
